,mov_href,mov_title,mov_year,mov_type,mov_rating
1103,tt1220888,Henry's Crime,2010.0,0,6.0
1104,tt1300926,Easy to Assemble,2009.0,1,5.7
1105,tt1134629,The Private Lives of Pippa Lee,2009.0,0,6.4
1106,tt0970416,The Day the Earth Stood Still,2008.0,0,5.5
1107,tt0421073,Street Kings,2008.0,0,6.8
1108,tt0410297,The Lake House,2006.0,0,6.8
1109,tt0405296,A Scanner Darkly,2006.0,0,7.1
1110,tt2092429,Echo,2005.0,6,5.9
1111,tt0360486,Constantine,2005.0,0,7.0
1112,tt0318761,Thumbsucker,2005.0,0,6.6
1113,tt0436262,Ellie Parker,2005.0,0,5.6
1114,tt0337741,Something's Gotta Give,2003.0,0,6.7
1115,tt0242653,The Matrix Revolutions,2003.0,0,6.8
1116,tt0368574,Kid's Story,2003.0,6,7.6
1117,tt0277828,Enter the Matrix,2003.0,8,6.9
1118,tt0234215,The Matrix Reloaded,2003.0,0,7.2
1119,tt0328832,The Animatrix,2003.0,5,7.4
1120,tt0180734,Hardball,2001.0,0,6.4
1121,tt0230838,Sweet November,2001.0,0,6.7
1122,tt0219699,The Gift,2000.0,0,6.7
1123,tt0204626,The Watcher,2000.0,0,5.3
1124,tt0191397,The Replacements,2000.0,0,6.6
1125,tt0160518,Me and Will,1999.0,0,5.1
1126,tt0206467,Action,1999.0,1,8.2
1127,tt0133093,The Matrix,1999.0,0,8.7
1128,tt0119502,The Last Time I Committed Suicide,1997.0,0,5.6
1129,tt0116289,Feeling Minnesota,1996.0,0,5.4
1130,tt0114887,A Walk in the Clouds,1995.0,0,6.7
1131,tt0113481,Johnny Mnemonic,1995.0,0,5.7
1132,tt0111257,Speed,1994.0,0,7.2
1133,tt0107426,Little Buddha,1993.0,0,6.1
1134,tt0106834,Even Cowgirls Get the Blues,1993.0,0,4.4
1135,tt0109838,Freaked,1993.0,0,6.4
1136,tt0103874,Dracula,1992.0,0,7.4
1137,tt3267018,Paula Abdul: Rush Rush,1991.0,7,7.4
1138,tt0102494,My Own Private Idaho,1991.0,0,7.0
1139,tt0101452,Bill & Ted's Bogus Journey,1991.0,0,6.3
1140,tt0102685,Point Break,1991.0,0,7.3
1141,tt0175080,Providence,1991.0,0,5.3
1142,tt0098752,Bill & Ted's Excellent Adventures,1990.0,1,6.5
1143,tt0100822,Tune in Tomorrow...,1990.0,0,6.2
1144,tt0099819,I Love You to Death,1990.0,0,6.4
1145,tt0092469,The Tracey Ullman Show,1989.0,1,7.0
1146,tt0098067,Parenthood,1989.0,0,7.0
1147,tt0176357,American Playhouse,1989.0,1,7.8
1148,tt0096928,Bill & Ted's Excellent Adventure,1989.0,0,7.0
1149,tt0094947,Dangerous Liaisons,1988.0,0,7.6
1150,tt0095903,The Prince of Pennsylvania,1988.0,0,5.7
1151,tt0095853,Permanent Record,1988.0,0,6.4
1152,tt0095730,The Night Before,1988.0,0,6.2
1153,tt10850630,Kellogg's: Corn Flakes,1987.0,4,7.4
1154,tt10854680,Mtv: Music Television,1987.0,4,6.8
1155,tt0190206,Trying Times,1987.0,1,7.3
1156,tt10854492,Black's Photography: Inventory Sale,1986.0,4,5.4
1157,tt0090683,Babes in Toyland,1986.0,2,5.4
1158,tt0092134,Under the Influence,1986.0,2,6.2
1159,tt0091860,River's Edge,1986.0,0,7.0
1160,tt0090775,The Brotherhood of Justice,1986.0,2,5.5
1161,tt0091065,Teenage Dream,1986.0,0,5.1
1162,tt0046593,The Magical World of Disney,1959.0,1,8.4
1163,tt0090588,Act of Vengeance,1986.0,2,6.0
1164,tt0092272,Youngblood,1986.0,0,6.2
1165,tt0223844,One Step Away,1985.0,6,5.1
1166,tt0341142,Comedy Factory,1985.0,1,5.3
1167,tt0089480,Letting Go,1985.0,2,6.1
1168,tt0088582,Night Heat,1985.0,1,7.6
