,mg_movie_href,mg_genre_id
0,tt0221027,19
1,tt0221027,20
2,tt0221027,7
0,tt0108771,2
0,tt0241303,11
1,tt0241303,7
0,tt0247196,11
1,tt0247196,20
2,tt0247196,7
0,tt0206917,11
1,tt0206917,8
2,tt0206917,7
0,tt0162661,15
1,tt0162661,18
2,tt0162661,23
0,tt0138304,0
1,tt0138304,1
2,tt0138304,7
0,tt0142688,1
1,tt0142688,18
0,tt0108981,2
0,tt0119565,2
1,tt0119565,11
2,tt0119565,7
0,tt0120669,7
1,tt0120669,2
2,tt0120669,13
0,tt0115818,2
1,tt0115818,7
0,tt0118768,7
0,tt8391714,2
1,tt8391714,3
0,tt0113972,19
1,tt0113972,9
2,tt0113972,7
0,tt6010812,8
0,tt0112817,7
1,tt0112817,23
2,tt0112817,13
0,tt8403886,8
0,tt0112883,2
1,tt0112883,11
2,tt0112883,7
0,tt0109707,2
1,tt0109707,20
2,tt0109707,7
0,tt0108550,7
0,tt0106387,2
1,tt0106387,11
2,tt0106387,7
0,tt8416482,8
0,tt0106307,2
1,tt0106307,23
2,tt0106307,7
0,tt0101917,15
1,tt0101917,23
0,tt5292294,8
0,tt0099487,11
1,tt0099487,23
2,tt0099487,7
0,tt0092312,19
1,tt0092312,18
2,tt0092312,7
0,tt0099329,10
1,tt0099329,2
0,tt3494988,2
1,tt3494988,3
0,tt0085032,11
1,tt0085032,7
0,tt3494986,2
1,tt3494986,3
0,tt0091763,21
1,tt0091763,7
0,tt0091972,1
1,tt0091972,7
0,tt3494942,3
1,tt3494942,7
0,tt0088549,7
0,tt0089839,2
0,tt12733608,3
0,tt0087800,15
0,tt2965368,19
1,tt2965368,7
0,tt14200438,20
1,tt14200438,7
0,tt13629530,14
1,tt13629530,9
2,tt13629530,13
0,tt10268488,21
1,tt10268488,7
0,tt14714980,1
0,tt10648342,23
1,tt10648342,9
2,tt10648342,13
0,tt11240348,1
0,tt12361974,23
1,tt12361974,9
2,tt12361974,13
0,tt10059518,1
1,tt10059518,9
0,tt4844140,19
1,tt4844140,20
2,tt4844140,7
0,tt6821044,20
1,tt6821044,7
0,tt7008872,20
1,tt7008872,7
0,tt7895824,2
1,tt7895824,3
0,tt4758646,2
1,tt4758646,21
2,tt4758646,7
0,tt2345759,23
1,tt2345759,9
2,tt2345759,13
0,tt7532470,2
1,tt7532470,3
0,tt9881938,2
0,tt3799694,19
1,tt3799694,2
2,tt3799694,9
0,tt2582502,7
0,tt3007512,24
1,tt3007512,21
2,tt3007512,7
0,tt1959490,7
1,tt1959490,9
2,tt1959490,13
0,tt1837709,18
1,tt1837709,23
2,tt1837709,7
0,tt0770828,0
1,tt0770828,9
2,tt0770828,13
0,tt1235522,19
1,tt1235522,9
2,tt1235522,7
0,tt1707386,10
1,tt1707386,11
2,tt1707386,7
0,tt1258972,9
0,tt1297754,19
1,tt1297754,2
2,tt1297754,7
0,tt1458175,19
1,tt1458175,9
2,tt1458175,7
0,tt0955308,7
1,tt0955308,9
2,tt0955308,13
0,tt0473705,19
1,tt0473705,18
2,tt0473705,7
0,tt0494864,19
1,tt0494864,1
2,tt0494864,7
0,tt0758774,1
1,tt0758774,9
2,tt0758774,7
